COUNTRY,FAC_NAME,Original_NAME,FAC_STATUS,FAC_TYPE,IM_STATUS,Shore,StartYear,IdleYear,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,AB LNG,Arzew-bethioua lng terminal,Operating/Retired,Export,Operational,On,1981,,16.14,16.14,20.84,20.84,20.84,20.84,20.84,20.84,20.84,20.84,20.84
Algeria,Skikda,Skikda lng terminal,Operating/Retired,Export,Operational,On,2013,,,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
Angola,Angola LNG,Angola lng terminal,Operating,Export,Operational,On,2012,,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2
Argentina,Bahia Blanca FLNG,Bahia blanca flng export terminal,Mothballed,Export,Inactive,On,2019,2020,,,,,,,,0.45,0.45,0.45,0.45
Australia,"AP LNG, Gladstone, QC LNG",Australia pacific lng terminal,Operating,Export,Operational,On,2015,,,,,13.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5
Australia,Darwin LNG,Darwin lng terminal,Operating,Export,Operational,On,2006,,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7
Australia,Gorgon LNG,Gorgon lng terminal,Operating,Export,Operational,On,2016,,,,,,10.4,15.6,15.6,15.6,15.6,15.6,15.6
Australia,Ichthys FLNG,Ichthys flng terminal,Operating,Export,Operational,Off,2018,,,,,,,,8.9,8.9,8.9,8.9,8.9
Australia,North West Shelf,North west shelf lng terminal,Operating,Export,Operational,On,2008,,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3
Australia,Pluto LNG,Pluto lng terminal,Operating,Export,Operational,Off,2012,,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9
Australia,Prelude FLNG,Prelude flng terminal,Operating,Export,Operational,Off,2019,,,,,,,,,3.6,3.6,3.6,3.6
Australia,Wheatstone LNG,Wheatstone lng terminal,Operating,Export,Operational,On,2017,,,,,,,4.45,8.9,8.9,8.9,8.9,8.9
Brunei Darussalam,Brunei LNG,Brunei lng terminal,Operating,Export,Operational,On,1973,,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2
Cameroon,Cameroon FLNG,Cameroon flng terminal,Operating,Export,Operational,Off,2018,,,,,,,,2.4,2.4,2.4,2.4,2.4
Canada,Fort Nelson LNG,Fort nelson lng terminal,Operating,Export,Operational,On,2021,,,,,,,,,,,0.02,0.02
Canada,Tilbury Island LNG,Tilbury island lng terminal,Operating,Export,Operational,On,1971,,0.03,0.03,0.03,0.03,0.03,0.03,0.28,0.28,0.28,0.28,0.28
Egypt,Damietta LNG,Damietta segas lng terminal,Operating,Export,Operational,On,2005,2012,1,1,1,1,1,1,1,1,1,5,5
Egypt,ELNG,Egyptian lng terminal,Operating,Export,Operational,On,2005,,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2
Equatorial Guinea,PE LNG,Punta europa lng terminal,Operating,Export,Operational,On,2007,,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7
Indonesia,Bontang LNG,Bontang lng terminal,Operating/Retired,Export,Operational,On,1998,,21,21,21,21,21,21,21,21,11.5,11.5,11.5
Indonesia,DS LNG,Donggi senoro lng terminal,Operating,Export,Operational,On,2015,,,,,2,2,2,2,2,2,2,2
Indonesia,Tangguh LNG,Tangguh lng terminal,Operating,Export,Operational,On,2009,,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6
Libya,Marsa LNG,Marsa el brega lng terminal,Mothballed,Export,Inactive,On,1970,2011,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2
Malaysia,DF LNG,Dua flng terminal,Operating,Export,Operational,Off,2021,,,,,,,,,,,1.5,1.5
Malaysia,"MLNG, DM LNG, SM LNG, TM LNG",Malaysia lng terminal,Operating,Export,Operational,On,1983,,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2
Malaysia,Satu FLNG,Satu flng terminal,Operating,Export,Operational,Off,2017,,,,,,,1.2,1.2,1.2,1.2,1.2,1.2
Mozambique,CS FLNG,Coral south flng terminal,Operating,Export,Operational,Off,2022,,,,,,,,,,,,3.4
Nigeria,Greenville LNG,Greenville lng terminal,Operating,Export,Operational,On,2019,,,,,,,,,0.82,0.82,0.82,0.82
Nigeria,NLNG,Nigeria lng terminal,Operating,Export,Operational,On,2008,,22,22,22,22,22,22,22,22,22,22,22
Norway,Snohvit,Hammerfest lng snohvit terminal,Operating,Export,Operational,Off,2007,,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
Norway,Kollsnes LNG,Kollsnes lng terminal,Operating,Export,Operational,On,2003,,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
Norway,Risavika LNG,Risavika lng terminal,Operating,Export,Operational,On,2010,,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
Norway,Snurrevarden LNG,Snurrevarden lng terminal,Operating,Export,Operational,On,2003,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Norway,Tjelbergodden LNG,Tjelbergodden lng terminal,Retired,Export,Inactive,On,1997,2019,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Oman,Qalhat LNG,Oman qalhat lng terminal,Operating,Export,Operational,On,2006,,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4
Papua New Guinea,PNG LNG,Papua new guinea lng terminal,Operating,Export,Operational,On,2013,,,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3
Peru,Peru LNG,Peru lng terminal,Operating,Export,Operational,On,2010,,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45
Qatar,Qatargas,Qatargas ras laffan lng terminal,Operating,Export,Operational,On,2011,,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1
Qatar,Rasgas,Rasgas lng terminal,Operating,Export,Operational,On,2010,,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3
Russia,"Vysotsk LNG, PO LNG",Portovaya lng terminal,Operating,Export,Operational,On,2019,,,,,,,,,0.66,0.66,0.66,2.16
Russia,Sakhalin-2 LNG,Sakhalin ii lng terminal,Operating,Export,Operational,On,2009,,10,10,10,10,10,10,10,10,10,10.8,11.5
Russia,Yamal LNG,Yamal lng terminal,Operating,Export,Operational,On,2017,,,,,,,5.5,16.5,16.5,16.5,17.4,17.4
Trinidad and tobago,Atlantic LNG,Atlantic lng terminal,Operating/Mothballed,Export,Operational,On,2007,,12,12,12,12,12,12,12,12,12,12,12
Turkmenistan,Kiyanly LNG,Kiyanly lng terminal,Operating,Export,Operational,On,2009,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
UAE,ADNOC LNG,Das island lng terminal,Operating,Export,Operational,On,1994,,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6
U.S.,Hialeah LNG,American lng hialeah terminal,Operating,Export,Operational,On,2016,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06
U.S.,Calcasieu Pass,Calcasieu pass lng terminal,Operating,Export,Operational,On,2022,,,,,,,,,,,,12
U.S.,Cameron LNG,Cameron lng terminal,Operating,Export,Operational,On,2019,,,,,,,,,4.5,13.5,13.5,13.5
U.S.,Corpus LNG,Corpus christi lng terminal,Operating,Export,Operational,On,2018,,,,,,,,5,10,15,15,15
U.S.,Cove Point LNG,Cove point lng export terminal,Operating,Export,Operational,On,2018,,,,,,,,5.3,5.3,5.3,5.3,5.3
U.S.,Elba Island LNG,Elba island lng terminal,Operating,Export,Operational,On,2019,,,,,,,,,12.5,25,25,25
U.S.,Freeport LNG,Freeport lng terminal,Operating,Export,Operational,On,2019,,,,,,,,,15,15,15,15
U.S.,Kenai LNG,Kenai lng terminal,Mothballed,Export,Inactive,On,1969,2017,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
U.S.,Sabine Pass LNG,Sabine pass lng terminal,Operating,Export,Operational,On,2015,,,,,10,10,20,25,25,25,30,30
Yemen,Yemen LNG,Yemen lng terminal,Mothballed,Export,Inactive,On,2010,2015,6.7,6.7,6.7,6.7,6.7,7.2,7.2,7.2,7.2,7.2,7.2
