,Date_Mscan,Lon_GMTCO,Lat_GMTCO,Temp_BB,Temp_Bkg,ESF_BB,RHI,RH,Area_Pixel,Area_BB,Cloud_Mask
0,15:46.2,6.687702,4.976576,,,,,,,,0
1,47:26.0,6.966308,36.884983,,,,,,,,0
2,47:26.0,6.940622,36.882072,1710,280,1.88E-05,9.12,9.45206,1.03641,19.4786,0
3,47:26.0,6.953225,36.879391,1826,277,9.43E-06,5.949,4.11946,0.692462,6.53214,0
4,47:26.0,6.963716,36.877171,2142,,2.71E-07,0.323333,0.224306,0.693732,0.187879,0
5,47:26.0,6.980345,36.873642,1590,277,6.46E-06,2.33737,1.62627,0.695772,4.49257,0
6,47:26.0,6.988564,36.871891,1634,276,6.09E-06,2.45913,1.71351,0.696795,4.24241,0
7,47:26.0,6.938011,36.874264,1493,,1.22E-05,3.43445,3.55953,1.03642,12.645,0
8,47:26.0,6.950669,36.871571,1579,,9.42E-06,3.32391,2.30171,0.692469,6.52504,0
9,47:26.0,6.977906,36.865788,,,,,,,,0
10,47:26.0,6.986128,36.864033,1268,,1.45E-05,2.12104,1.47795,0.696804,10.0742,0
11,47:26.0,6.958613,36.861523,,,,,,,,0
12,48:05.1,-0.316297,35.841537,,,,,,,,0
13,48:05.1,-0.309259,35.833645,1626,,5.24E-06,2.07852,1.21204,0.583129,3.05662,0
14,48:05.1,-0.30074,35.832355,1752,,3.41E-06,1.82118,1.06169,0.582966,1.98701,0
15,48:05.1,-0.329281,35.822956,1655,,5.37E-06,2.28477,1.33306,0.583455,3.13303,0
16,48:05.1,-0.320752,35.821674,1777,,2.26E-06,1.2769,0.744804,0.583289,1.31685,1
17,48:05.1,-0.2696,35.814003,1702,280,4.27E-06,2.03159,1.18305,0.582329,2.48393,0
